Image_Name,Recognised Food Item,Recipe generated,List of ingredients predicted,Step by step instructions generated
cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,"Which is the food item in the image?
waffle","Generate a recipe for the dish shown in the image.
waffle","Provide the list of ingredients.
waffles","Provide step-by-step instructions.
waffles"
apple-pie-smoothie-smoothie-project-catherine-mccord,"Which is the food item in the image?
apple","Generate a recipe for the dish shown in the image.
apple and cinnamon smoothie","Provide the list of ingredients.
smoothie","Provide step-by-step instructions.
smoothie"
cast-iron-pizza-with-fennel-and-sausage,"Which is the food item in the image?
pizza","Generate a recipe for the dish shown in the image.
make a recipe","Provide the list of ingredients.
pizza","Provide step-by-step instructions.
pizza in a pan"
brown-butter-basted-rib-eye-steak,"Which is the food item in the image?
steak","Generate a recipe for the dish shown in the image.
steak with salt","Provide the list of ingredients.
food & drink","Provide step-by-step instructions.
how to cook a steak"
classic-spaghetti-and-meatballs,"Which is the food item in the image?
spaghetti","Generate a recipe for the dish shown in the image.
spaghetti and meatballs","Provide the list of ingredients.
spaghetti and meatballs","Provide step-by-step instructions.
noodles and meatballs"
best-apple-cider-doughnuts,"Which is the food item in the image?
Donuts","Generate a recipe for the dish shown in the image.
doughnut","Provide the list of ingredients.
doughnuts","Provide step-by-step instructions.
doughnuts"
3-ingredient-curry-grilled-chicken-wings,"Which is the food item in the image?
chicken wings","Generate a recipe for the dish shown in the image.
grilled chicken wings","Provide the list of ingredients.
grilled chicken wings","Provide step-by-step instructions.
grilled chicken wings"
nextover-chicken-tacos-with-quick-refried-beans,"Which is the food item in the image?
tacos","Generate a recipe for the dish shown in the image.
tacos with black beans","Provide the list of ingredients.
tacos","Provide step-by-step instructions.
tacos"
apple-bok-choy-salad-56389418,"Which is the food item in the image?
salad","Generate a recipe for the dish shown in the image.
bok choy salad","Provide the list of ingredients.
salad","Provide step-by-step instructions.
salad"
ramen-noodles-with-kale-56389409,"Which is the food item in the image?
noodles","Generate a recipe for the dish shown in the image.
asian noodles with kale and mushrooms","Provide the list of ingredients.
noodles","Provide step-by-step instructions.
noodles"
breakfast-burritos-51263010,"Which is the food item in the image?
quesadillas","Generate a recipe for the dish shown in the image.
quesadillas","Provide the list of ingredients.
taco","Provide step-by-step instructions.
tacos"
cheese-omelette-51262180,"Which is the food item in the image?
omelette","Generate a recipe for the dish shown in the image.
egg white omelet","Provide the list of ingredients.
omelette","Provide step-by-step instructions.
how to make an omelette"
sushi-sandwiches-51262890,"Which is the food item in the image?
sushi","Generate a recipe for the dish shown in the image.
tuna roll up","Provide the list of ingredients.
lunch box","Provide step-by-step instructions.
lunch box"
bacon-cheddar-muffins-51256440,"Which is the food item in the image?
muffin","Generate a recipe for the dish shown in the image.
savory cornbread muffins","Provide the list of ingredients.
muffins","Provide step-by-step instructions.
muffins"
fish-and-chips-with-malt-vinegar-mayonnaise-51187310,"Which is the food item in the image?
fish and chips","Generate a recipe for the dish shown in the image.
fish and chips","Provide the list of ingredients.
fish and chips","Provide step-by-step instructions.
fish and chips"
chocolate-malt-ice-cream-51178810,"Which is the food item in the image?
ice cream","Generate a recipe for the dish shown in the image.
chocolate ice cream","Provide the list of ingredients.
chocolate and marshmallow ice cream","Provide step-by-step instructions.
chocolate and marshmallow ice cream"
vegetable-quesadillas-with-fresh-salsa-51144400,"Which is the food item in the image?
quesadillas","Generate a recipe for the dish shown in the image.
quesadillas","Provide the list of ingredients.
quesadillas","Provide step-by-step instructions.
quesadillas"
cocoa-brownies-51134540,"Which is the food item in the image?
brownie","Generate a recipe for the dish shown in the image.
brownies","Provide the list of ingredients.
brownies","Provide step-by-step instructions.
how to make the perfect brownie"
