Image_Name,Image_Name,Recipe generated,List of ingredients predicted,Step by step instructions generated
cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate
apple-pie-smoothie-smoothie-project-catherine-mccord,apple-pie-smoothie-smoothie-project-catherine-mccord,a glass of smoothie with apples and an apple,a glass of smoothie with apples and an apple,a glass of smoothie with apples and an apple
cast-iron-pizza-with-fennel-and-sausage,cast-iron-pizza-with-fennel-and-sausage,a pizza in a skillet on a black table,a pizza in a skillet on a black table,a pizza in a skillet on a black table
brown-butter-basted-rib-eye-steak,brown-butter-basted-rib-eye-steak,a steak on a cutting board with a bowl of salt,a steak on a cutting board with a bowl of salt,a steak on a cutting board with a bowl of salt
classic-spaghetti-and-meatballs,classic-spaghetti-and-meatballs,spaghetti and meatballs with tomato sauce,spaghetti and meatballs with tomato sauce,spaghetti and meatballs with tomato sauce
best-apple-cider-doughnuts,best-apple-cider-doughnuts,three donuts sitting on a cooling rack,three donuts sitting on a cooling rack,three donuts sitting on a cooling rack
3-ingredient-curry-grilled-chicken-wings,4-ingredient-curry-grilled-chicken-wings,a plate of chicken wings on a blue table,a plate of chicken wings on a blue table,a plate of chicken wings on a blue table
nextover-chicken-tacos-with-quick-refried-beans,nextover-chicken-tacos-with-quick-refried-beans,three tacos with black beans and cabbage on a table,three tacos with black beans and cabbage on a table,three tacos with black beans and cabbage on a table
apple-bok-choy-salad-56389418,apple-bok-choy-salad-56389419,"a plate of salad with carrots, onions and greens","a plate of salad with carrots, onions and greens","a plate of salad with carrots, onions and greens"
ramen-noodles-with-kale-56389409,ramen-noodles-with-kale-56389410,a plate of noodles with mushrooms and vegetables,a plate of noodles with mushrooms and vegetables,a plate of noodles with mushrooms and vegetables
breakfast-burritos-51263010,breakfast-burritos-51263011,a plate with a taco and avocado on it,a plate with a taco and avocado on it,a plate with a taco and avocado on it
cheese-omelette-51262180,cheese-omelette-51262181,a slice of omelet on a plate with a fork,a slice of omelet on a plate with a fork,a slice of omelet on a plate with a fork
sushi-sandwiches-51262890,sushi-sandwiches-51262891,a lunch box filled with fruit and vegetables,a lunch box filled with fruit and vegetables,a lunch box filled with fruit and vegetables
bacon-cheddar-muffins-51256440,bacon-cheddar-muffins-51256441,bacon and rosemary muffins,bacon and rosemary muffins,bacon and rosemary muffins
fish-and-chips-with-malt-vinegar-mayonnaise-51187310,fish-and-chips-with-malt-vinegar-mayonnaise-51187311,a plate of fish and fries with a lemon wedge,a plate of fish and fries with a lemon wedge,a plate of fish and fries with a lemon wedge
chocolate-malt-ice-cream-51178810,chocolate-malt-ice-cream-51178811,chocolate ice cream in a bowl,chocolate ice cream in a bowl,chocolate ice cream in a bowl
vegetable-quesadillas-with-fresh-salsa-51144400,vegetable-quesadillas-with-fresh-salsa-51144401,a group of quesadillas with vegetables and cheese,a group of quesadillas with vegetables and cheese,a group of quesadillas with vegetables and cheese
cocoa-brownies-51134540,cocoa-brownies-51134541,a group of brownies arranged in a square shape,a group of brownies arranged in a square shape,a group of brownies arranged in a square shape
lasagna-with-turkey-sausage-bolognese-364032,lasagna-with-turkey-sausage-bolognese-364033,a plate topped with lasagna and cheese,a plate topped with lasagna and cheese,a plate topped with lasagna and cheese
chocolate-mayonnaise-cake-358241,chocolate-mayonnaise-cake-358242,a chocolate cake with a slice taken out of it,a chocolate cake with a slice taken out of it,a chocolate cake with a slice taken out of it
berries-and-buttermilk-puddings-354998,berries-and-buttermilk-puddings-354999,three glasses of yogurt with berries on a table,three glasses of yogurt with berries on a table,three glasses of yogurt with berries on a table
brined-fried-chicken-352449,brined-fried-chicken-352450,fried chicken on a white plate on a table,fried chicken on a white plate on a table,fried chicken on a white plate on a table
grilled-hot-dogs-with-mango-chutney-and-red-onion-relish-238792,grilled-hot-dogs-with-mango-chutney-and-red-onion-relish-238793,a person holding a hot dog on a plate with a drink,a person holding a hot dog on a plate with a drink,a person holding a hot dog on a plate with a drink
chai-spiced-cheesecake-with-ginger-crust-237113,chai-spiced-cheesecake-with-ginger-crust-237114,a slice of cheesecake on a plate with a fork,a slice of cheesecake on a plate with a fork,a slice of cheesecake on a plate with a fork
coconut-red-lentil-curry-236684,coconut-red-lentil-curry-236685,a bowl of tomato soup with parsley garnish,a bowl of tomato soup with parsley garnish,a bowl of tomato soup with parsley garnish
burgers-with-mozzarella-and-spinach-arugula-pesto-235619,burgers-with-mozzarella-and-spinach-arugula-pesto-235620,"a hamburger with spinach, tomatoes and mozzarella cheese","a hamburger with spinach, tomatoes and mozzarella cheese","a hamburger with spinach, tomatoes and mozzarella cheese"
crispy-spring-rolls-232437,crispy-spring-rolls-232438,chinese food spring rolls in a wok,chinese food spring rolls in a wok,chinese food spring rolls in a wok
caramelized-chocolate-banana-and-marshmallow-sandwiches-234440,caramelized-chocolate-banana-and-marshmallow-sandwiches-234441,a grilled cheese sandwich with marshmallows and chocolate chips,a grilled cheese sandwich with marshmallows and chocolate chips,a grilled cheese sandwich with marshmallows and chocolate chips
pasta-cacio-e-pepe-232112,pasta-cacio-e-pepe-232113,penne with spinach and parmesan,penne with spinach and parmesan,penne with spinach and parmesan
buttermilk-pancakes-109480,buttermilk-pancakes-109481,a stack of pancakes with butter and syrup,a stack of pancakes with butter and syrup,a stack of pancakes with butter and syrup
