Image_Name,Recognised Food Item,Recipe generated,List of ingredients predicted,Step by step instructions generated
Cinnamon Sugar Sourdough Waffles,The food item in the image is waffles.,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate
Apple Pie Smoothie,The food item in the image is a smoothie.,a pitcher of smoothie is sitting on a table next to apples and oats,"oats, almond milk, vanilla extract, cinnamon, chia seeds, chia seeds, flax seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia",a blender is on a table next to apples and oats
Cast-Iron Pizza with Fennel and Sausage,The food item in the image is a pizza.,a pizza in a cast iron skillet on a dark background,"ricotta cheese, sausage, spinach, mozzarella cheese, parmesan cheese, olive oil, salt, pepper, oregano, basil",a pizza in a cast iron skillet on a dark background
Brown Butter–Basted Steak,The food item in the image is a steak.,a steak on a cutting board with rosemary and salt,a steak on a cutting board with salt and herbs,a steak on a cutting board with salt and herbs
Classic Spaghetti and Meatballs,The food item in the image is spaghetti.,a plate of spaghetti with meatballs and bread,spaghetti with meatballs and bread on a table,a plate of spaghetti with meatballs and bread on a table
BA's Best Apple Cider Doughnuts,Donuts are the food item in the image.,three cinnamon sugar donuts are sitting on a cooling rack,three sugared doughnuts are sitting on a cooling rack,three sugared doughnuts are sitting on a cooling rack on a blue background
3-Ingredient Curry Grilled Chicken Wings,The food item in the image is chicken wings.,chicken wings on a blue plate,chicken wings on a blue plate,a plate of chicken wings on a blue table
"""Nextover"" Chicken Tacos with Quick Refried Beans",The food item in the image is tacos.,a plate of tacos with black beans and salsa on a wooden table,two plates of tacos with black beans and salsa on a wooden table,a plate of tacos with black beans and salsa on a wooden table
Apple Bok Choy Salad,The food item in the image is a salad.,a white plate with a salad on it,a white plate with a salad on it,a white plate with a salad on it
Ramen Noodles with Kale,The food item in the image is pasta.,a plate of pasta with vegetables and mushrooms,"penne pasta, mushrooms, broccoli, carrots, green beans, and red peppers","a plate of pasta with broccoli, mushrooms and carrots is on a table next to a fork"
Breakfast Burritos,The food item in the image is a taco.,"a plate of tacos with beans, avocado and sour cream on a white plate","The taco is topped with beans, avocado, and sour cream on a white plate.",a taco is sitting on a plate with avocado and sour cream on the side
Cheese Omelette,The food item in the image is an omelet.,an omelet on a plate with a fork,an omelet on a plate with a fork,an omelet on a plate with a fork
