Image_Name,Recognised Food Item,Recipe generated,List of ingredients predicted,Step by step instructions generated
cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,The food item in the image is waffles.,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate,waffles with berries and syrup on a blue plate
apple-pie-smoothie-smoothie-project-catherine-mccord,The food item in the image is a smoothie.,a pitcher of smoothie is sitting on a table next to apples and oats,"oats, almond milk, vanilla extract, cinnamon, chia seeds, chia seeds, flax seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia seeds, chia",a blender is on a table next to apples and oats
cast-iron-pizza-with-fennel-and-sausage,The food item in the image is a pizza.,a pizza in a cast iron skillet on a dark background,"ricotta cheese, sausage, spinach, mozzarella cheese, parmesan cheese, olive oil, salt, pepper, oregano, basil",a pizza in a cast iron skillet on a dark background
brown-butter-basted-rib-eye-steak,The food item in the image is a steak.,a steak on a cutting board with rosemary and salt,a steak on a cutting board with salt and herbs,a steak on a cutting board with salt and herbs
classic-spaghetti-and-meatballs,The food item in the image is spaghetti.,a plate of spaghetti with meatballs and bread,spaghetti with meatballs and bread on a table,a plate of spaghetti with meatballs and bread on a table
best-apple-cider-doughnuts,Donuts are the food item in the image.,three cinnamon sugar donuts are sitting on a cooling rack,three sugared doughnuts are sitting on a cooling rack,three sugared doughnuts are sitting on a cooling rack on a blue background
3-ingredient-curry-grilled-chicken-wings,The food item in the image is chicken wings.,chicken wings on a blue plate,chicken wings on a blue plate,a plate of chicken wings on a blue table
nextover-chicken-tacos-with-quick-refried-beans,The food item in the image is tacos.,a plate of tacos with black beans and salsa on a wooden table,two plates of tacos with black beans and salsa on a wooden table,a plate of tacos with black beans and salsa on a wooden table
apple-bok-choy-salad-56389418,The food item in the image is a salad.,a white plate with a salad on it,a white plate with a salad on it,a white plate with a salad on it
ramen-noodles-with-kale-56389409,The food item in the image is pasta.,a plate of pasta with vegetables and mushrooms,"penne pasta, mushrooms, broccoli, carrots, green beans, and red peppers","a plate of pasta with broccoli, mushrooms and carrots is on a table next to a fork"
